incident_id,date,time,day_period,road_name,region,speed_limit_kmh,vehicle_type,species,outcome,report_source,data_quality_flag
REC-0001,2023-01-04,05:50,dawn,Tindarra Loop Road,Central Tablelands,80,ute,red kangaroo,no animal injury recorded,insurance claim,
REC-0002,2023-01-19,01:10,night,Coorabin Road,Northern Ranges,110,motorcycle,swamp wallaby,"animal injured, fled",insurance claim,
REC-0003,2023-01-22,06:00,dawn,Merricourt Highway,Coastal Corridor,110,motorcycle,eastern grey kangaroo,"animal injured, treated by carer",road authority maintenance log,
REC-0004,2023-02-17,23:40,night,Coorabin Road,Northern Ranges,80,bus,swamp wallaby,"animal injured, fled",police,
REC-0005,2023-03-16,05:45,dawn,Merricourt Highway,Coastal Corridor,100,ute,red kangaroo,animal deceased on scene,insurance claim,
REC-0006,2023-04-01,23:05,night,Coorabin Road,Northern Ranges,110,motorcycle,eastern grey kangaroo,no animal injury recorded,police,
REC-0007,2023-04-09,18:00,dusk,Tindarra Loop Road,Central Tablelands,100,ute,red kangaroo,"vehicle damage only, animal not located",wildlife carer,"carer shift-start time recorded, not incident time"
REC-0008,2023-04-13,17:00,dusk,Bunjalung Ridge Road,Central Tablelands,110,SUV,swamp wallaby,"vehicle damage only, animal not located",wildlife carer,
REC-0009,2023-05-03,09:15,day,Merricourt Highway,Coastal Corridor,80,bus,red kangaroo,no animal injury recorded,road authority maintenance log,
REC-0010,2023-05-03,19:40,dusk,Grellan Creek Road,Northern Ranges,110,truck,eastern grey kangaroo,animal deceased on scene,insurance claim,
REC-0011,2023-05-24,18:35,dusk,Old Bindari Road,Western Slopes,80,ute,common wombat,"animal injured, treated by carer",insurance claim,
REC-0012,2023-05-28,00:45,night,Bunjalung Ridge Road,Central Tablelands,100,motorcycle,eastern grey kangaroo,"vehicle damage only, animal not located",insurance claim,
REC-0013,2023-06-19,12:20,day,Coorabin Road,Northern Ranges,100,motorcycle,wallaroo,no animal injury recorded,wildlife carer,
REC-0014,2023-06-27,18:00,dusk,Grellan Creek Road,Northern Ranges,80,sedan,eastern grey kangaroo,"animal injured, fled",wildlife carer,"carer shift-start time recorded, not incident time"
REC-0015,2023-07-01,08:25,day,Old Bindari Road,Western Slopes,60,truck,common wombat,no animal injury recorded,police,
REC-0016,2023-07-10,08:40,day,Wombaroo Pass,Western Slopes,80,SUV,,"vehicle damage only, animal not located",wildlife carer,species not recorded
REC-0017,2023-07-28,22:10,night,Grellan Creek Road,Northern Ranges,110,bus,eastern grey kangaroo,"vehicle damage only, animal not located",insurance claim,
REC-0018,2023-08-16,06:50,dawn,Grellan Creek Road,Northern Ranges,,motorcycle,common wombat,animal deceased on scene,insurance claim,
REC-0019,2023-09-28,06:20,dawn,Old Bindari Road,Western Slopes,100,sedan,eastern grey kangaroo,"animal injured, treated by carer",police,
REC-0020,2023-10-11,07:55,dawn,Wombaroo Pass,Western Slopes,60,bus,wallaroo,"vehicle damage only, animal not located",wildlife carer,
REC-0021,2023-10-23,05:05,dawn,Tindarra Loop Road,Central Tablelands,60,ute,eastern grey kangaroo,"vehicle damage only, animal not located",insurance claim,
REC-0022,2024-01-02,00:50,night,Merricourt Highway,Coastal Corridor,110,truck,short-beaked echidna,animal deceased on scene,road authority maintenance log,
REC-0023,2024-01-16,19:30,dusk,Tindarra Loop Road,Central Tablelands,80,bus,wallaroo,animal deceased on scene,police,
REC-0024,2024-01-22,02:55,night,Coorabin Road,Northern Ranges,100,truck,eastern grey kangaroo,"vehicle damage only, animal not located",road authority maintenance log,
REC-0025,2024-01-23,18:00,dusk,Grellan Creek Road,Northern Ranges,110,truck,eastern grey kangaroo,"vehicle damage only, animal not located",wildlife carer,"carer shift-start time recorded, not incident time"
REC-0026,2024-01-25,14:30,day,Coorabin Road,Northern Ranges,80,SUV,common wombat,animal deceased on scene,wildlife carer,
REC-0027,2024-03-03,06:45,dawn,Wombaroo Pass,Western Slopes,100,truck,swamp wallaby,"vehicle damage only, animal not located",road authority maintenance log,
REC-0028,2024-04-21,19:30,dusk,Wombaroo Pass,Western Slopes,80,motorcycle,eastern grey kangaroo,animal deceased on scene,insurance claim,
REC-0029,2024-05-19,19:40,dusk,Merricourt Highway,Coastal Corridor,110,truck,swamp wallaby,animal deceased on scene,wildlife carer,
REC-0030,2024-06-24,12:35,day,Grellan Creek Road,Northern Ranges,100,truck,wallaroo,animal deceased on scene,insurance claim,
REC-0031,2024-07-20,18:00,dusk,Bunjalung Ridge Road,Central Tablelands,100,bus,,"vehicle damage only, animal not located",wildlife carer,"carer shift-start time recorded, not incident time"
REC-0032,2024-08-06,06:00,dawn,Tindarra Loop Road,Central Tablelands,80,truck,wallaroo,"animal injured, treated by carer",wildlife carer,"carer shift-start time recorded, not incident time"
REC-0033,2024-08-13,16:25,day,Old Bindari Road,Western Slopes,110,sedan,red kangaroo,"animal injured, treated by carer",police,
REC-0034,2024-08-15,03:30,night,Wombaroo Pass,Western Slopes,80,ute,common wombat,animal deceased on scene,wildlife carer,
REC-0035,2024-09-03,04:00,night,Old Bindari Road,Western Slopes,100,bus,eastern grey kangaroo,"vehicle damage only, animal not located",wildlife carer,
